,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
61,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,3,8,2,6,3,5,4,0,8,1,9,5,8,3,0,6,1,66,dikesnet
62,104,153.14569361661552,1.0,0.836952975485637,211.2380591224936,1.0,0.9736868123971272,49.33278687799428,1.5,0.4234526378507996,87.03177407904606,1.5,0.4584419706252736,340.50317628902707,1.5,0.1707668224452914,3.5,3.5,3.5,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,4,7,3,0,10,3,7,3,0,9,2,4,7,4,10,7,0,68,dikesnet
63,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,4,7,3,0,10,3,7,3,0,9,2,4,7,4,10,7,1,68,dikesnet
64,104,153.14569361661552,1.0,0.836952975485637,211.2380591224936,1.0,0.9736868123971272,49.33278687799428,1.5,0.4234526378507996,87.03177407904606,1.5,0.4584419706252736,340.50317628902707,1.5,0.1707668224452914,3.5,3.5,3.5,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,2,7,7,0,10,8,3,2,3,10,7,7,10,1,0,71,dikesnet
65,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,2,7,7,0,10,8,3,2,3,10,7,7,10,1,1,71,dikesnet
66,104,153.14569361661552,1.0,0.836952975485637,211.2380591224936,1.0,0.9736868123971272,49.33278687799428,1.5,0.4234526378507996,87.03177407904606,1.5,0.4584419706252736,340.50317628902707,1.5,0.1707668224452914,3.5,3.5,3.5,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,7,1,7,8,3,0,3,3,5,5,4,7,10,7,10,0,73,dikesnet
67,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,7,1,7,8,3,0,3,3,5,5,4,7,10,7,10,1,73,dikesnet
68,104,153.14569361661552,1.0,0.836952975485637,211.2380591224936,1.0,0.9736868123971272,49.33278687799428,1.5,0.4234526378507996,87.03177407904606,1.5,0.4584419706252736,340.50317628902707,1.5,0.1707668224452914,3.5,3.5,3.5,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,9,2,1,6,4,1,10,8,7,0,6,2,10,4,8,0,74,dikesnet
69,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,9,2,1,6,4,1,10,8,7,0,6,2,10,4,8,1,74,dikesnet
70,104,153.14569361661552,1.0,0.836952975485637,211.2380591224936,1.0,0.9736868123971272,49.33278687799428,1.5,0.4234526378507996,87.03177407904606,1.5,0.4584419706252736,340.50317628902707,1.5,0.1707668224452914,3.5,3.5,3.5,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,3,10,0,0,2,1,5,7,9,5,7,9,1,8,8,10,0,75,dikesnet
71,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,3,10,0,0,2,1,5,7,9,5,7,9,1,8,8,10,1,75,dikesnet
72,104,153.14569361661552,1.0,0.836952975485637,211.2380591224936,1.0,0.9736868123971272,49.33278687799428,1.5,0.4234526378507996,87.03177407904606,1.5,0.4584419706252736,340.50317628902707,1.5,0.1707668224452914,3.5,3.5,3.5,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,2,5,0,10,4,3,4,0,2,9,7,9,0,0,8,6,0,81,dikesnet
73,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,2,5,0,10,4,3,4,0,2,9,7,9,0,0,8,6,1,81,dikesnet
74,104,153.14569361661552,1.0,0.836952975485637,211.2380591224936,1.0,0.9736868123971272,49.33278687799428,1.5,0.4234526378507996,87.03177407904606,1.5,0.4584419706252736,340.50317628902707,1.5,0.1707668224452914,3.5,3.5,3.5,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,5,1,3,7,9,0,3,10,2,6,2,5,3,8,6,0,82,dikesnet
75,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,5,1,3,7,9,0,3,10,2,6,2,5,3,8,6,1,82,dikesnet
